IMS,UFID,Upstream_MH,Downstream_MH,Diameter_Inch,Length_Ft,WorkType,Method_Short,WorkTypeDetail,Other_WO_Description,GSM1,Diam_Category,Length_Category,Is_Inspection,Is_Structural,CIPP_Thickness_mm,PB_Liner_OD_in,Wall_Area_ft2
14879968,3455986,IA062008,IA064060,12,310,CTV,CTV Inspection,Perform cleaning and television inspection,,GSM_IA062008IA064060,"Medium (10–15"")",Long (>300 ft),True,False,,,243.5
14879974,3465316,IA064001,IA065041,15,300,CTV,CTV Inspection,Perform cleaning and television inspection,,GSM_IA064001IA065041,"Medium (10–15"")",Medium (150–300 ft),True,False,,,368.2
14879973,3465364,IA064008,IA064008A,8,433,CTV,CTV Inspection,Perform cleaning and television inspection,,GSM_IA064008IA064008A,"Small (≤8"")",Long (>300 ft),True,False,,,151.1
14879970,3465363,IA064009,IA064008,8,513,CTV,CTV Inspection,Perform cleaning and television inspection,,GSM_IA064009IA064008,"Small (≤8"")",Long (>300 ft),True,False,,,179.1
14879969,3463765,IA064010,IA064009,8,523,CTV,CTV Inspection,Perform cleaning and television inspection,,GSM_IA064010IA064009,"Small (≤8"")",Long (>300 ft),True,False,,,182.6
14879781,3463764,IA064011,IA064010,8,320,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,,GSM_IA064011IA064010,"Small (≤8"")",Long (>300 ft),False,True,,8.625,111.7
14879956,3465317,IA064012,IA064001,15,153,Pipe Bursting,Pipe Bursting,Install an 16.00 inch outside diameter polyethylene liner in the existing 15-inch sanitary sewer by method of pipe bursting,CTV,GSM_IA064012IA064001,"Medium (10–15"")",Medium (150–300 ft),False,True,,16.0,187.8
14879972,3465332,IA064012,IA059028,12,326,CTV,CTV Inspection,Perform cleaning and television inspection,,GSM_IA064012IA059028,"Medium (10–15"")",Long (>300 ft),True,False,,,256.0
14879955,3465321,IA064018,IA064013,12,278,Pipe Bursting,Pipe Bursting,Install an 12.75 inch outside diameter polyethylene liner in the existing 12-inch sanitary sewer by method of pipe bursting,,GSM_IA064018IA064013,"Medium (10–15"")",Medium (150–300 ft),False,True,,12.75,218.3
14879954,3465320,IA064019,IA064018,12,295,Pipe Bursting,Pipe Bursting,Install an 12.75 inch outside diameter polyethylene liner in the existing 12-inch sanitary sewer by method of pipe bursting,,GSM_IA064019IA064018,"Medium (10–15"")",Medium (150–300 ft),False,True,,12.75,231.7
14879785,8018073,IA064020,IA064019,8,466,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV; Remove Existing Liner,GSM_IA064020IA064019,"Small (≤8"")",Long (>300 ft),False,True,,8.625,162.7
14879786,3465306,IA064021,IA064020,8,439,Pipe Bursting,Pipe Bursting,Install an 8.625 inch outside diameter polyethylene liner in the existing 8-inch sanitary sewer by method of pipe bursting,CTV; Remove Existing Liner,GSM_IA064021IA064020,"Small (≤8"")",Long (>300 ft),False,True,,8.625,153.2
